ID	WT_r1	WT_r2	WT_r3	KO_r1	KO_r2	KO_r3	KO_rescue_r1	KO_rescue_r2	KO_rescue_r3
ENSMUSG00000020803	1833.54	2098.32	2129.82	1934.34	2337.11	2115.47	1870.22	2280.62	2260.77
ENSMUSG00000020806	635.99	635.31	454.81	636.13	680.82	767.98	643.25	571.43	578.9
ENSMUSG00000020807	422.91	307.22	304.93	232.54	181.27	230.96	278.54	270.9	238
ENSMUSG00000020808	48.19	48.1	39.12	30.73	31.77	30.47	111.92	65.26	62.77
ENSMUSG00000020810	5.09	8.08	3.55	52.61	48.15	44.95	2.12	5.47	3.79
ENSMUSG00000020811	43.13	26.92	22.21	157.75	183.93	206.49	6.32	6.08	5.27
ENSMUSG00000020812	161.51	71.53	62.18	106.25	48.71	56.22	100.12	66.76	76.66
ENSMUSG00000020814	79.57	81.55	82.11	251.29	363.52	398.75	40.14	11.74	17.43
ENSMUSG00000020817	1264.7	967.44	965.19	990.77	997.34	976.95	1355.49	1066.72	1106.86
ENSMUSG00000020818	587.61	680.33	673.8	645.53	637.82	617.6	522.43	494.66	537.5
ENSMUSG00000020821	82.1	63.61	102.74	112.37	128.56	144.75	96.21	80.15	68.44
ENSMUSG00000020823	874.52	859.34	664.79	819.61	1007.34	984.8	487.52	460.67	511.61
ENSMUSG00000020826	7.33	3.74	15.11	12.29	22.27	3.3	4.75	0.95	1.31
ENSMUSG00000020827	550.84	475.89	350.32	448.29	349.88	346.24	221.86	358.2	400.48
ENSMUSG00000020828	364.45	223.85	263.06	316.88	388.45	277.03	204.43	197.84	185.91
ENSMUSG00000020829	51.13	70.11	78.67	70.44	77.46	103.54	57.18	59.12	42.52
ENSMUSG00000020830	1.78	2.25	2.28	2.99	3.96	0.22	1.15	1.09	2.76
ENSMUSG00000020831	44.56	16.08	17.57	37.58	20.52	11.76	16.05	16.95	24.39
ENSMUSG00000020832	1180.15	1363.86	1249.47	1391.64	1404.92	1433.35	1324.75	1319.11	1362.44
ENSMUSG00000020834	217.35	288.04	300.24	288.88	290.22	244.21	179.55	198.78	226.65
ENSMUSG00000020836	4.55	0.17	0.99	4.96	23.95	27.06	3.83	0.17	0.09
ENSMUSG00000020838	26.42	15.76	26.78	119.2	218.04	198.33	19.12	5.64	2.37
ENSMUSG00000020839	96.71	83.09	86.2	134.16	198.12	142.1	104.32	142.6	165.63
ENSMUSG00000020840	2677.78	2822.35	2946.98	2600.59	2800.75	2900.49	3118.78	3178.37	3233.04
ENSMUSG00000020841	777.37	722.66	833.44	1095.62	1112.5	1356.5	759.42	456.75	518.25
ENSMUSG00000020843	1150.7	1562.66	1489.57	1442.36	1845.5	1684.24	1449.7	1477.32	1560.63
ENSMUSG00000020844	65.01	90.17	79.2	82.9	84.93	87	85.95	100.99	112.95
ENSMUSG00000020846	2071.52	2031.41	1547.33	454.35	385	511.59	2073.98	2406.38	2005.37
ENSMUSG00000020847	268.68	300.67	313.65	315.49	243.12	267.8	284.38	322.67	345.02
ENSMUSG00000020849	7821.19	9330.42	9967.86	9319.76	10637.53	9933.07	9152.65	10480.04	11123.87
ENSMUSG00000020850	1118.54	1273.54	1401.18	1147.1	1250.31	1726.95	1830.96	1209	1146.46
ENSMUSG00000020857	64.37	74.71	71.08	71.98	83.45	68.87	95.81	123.44	110.92
ENSMUSG00000020859	688.81	682.11	586.83	723.08	575.66	772.96	618.62	595.55	649.54
ENSMUSG00000020863	1024.88	814.41	784.09	1074.9	810.61	869	995.58	1005.09	877.51
ENSMUSG00000020864	2320.75	2643.86	2543.37	2735.33	2775.92	2749.5	1881.56	2172.58	2492.24
ENSMUSG00000020865	84.39	95.73	91.48	119.4	156.02	217.47	101.21	78.55	123.17
ENSMUSG00000020866	2.11	0.29	2.75	0.21	0.29	0.58	1.56	1.31	0.58
ENSMUSG00000020867	3.01	0.17	0.07	0.76	8.82	7.51	0.76	0.17	0.07
ENSMUSG00000020868	2140.06	2271.42	2147.39	1525.49	1286.21	1463.21	1889.46	1679.27	1810.93
ENSMUSG00000020869	2664.72	3268.98	3201.4	3188	3343.18	3302.99	3167.05	2869.94	3428.89
ENSMUSG00000020870	2.24	1.5	2.3	1.92	0.99	0.37	0.94	2.17	1.56
