ID	LP_r1	LP_r2	LP_r3	ML_r1	ML_r2	ML_r3	MLN_r1	MLN_r2	MLN_r3
ENSMUSG00000114689	0.93	4.66	6.92	0	0	1.51	1.86	1.63	8.02
ENSMUSG00000049659	3113.59	2629.71	2708.47	2718.12	2071.04	1801.98	4055.33	6303.16	6772.95
ENSMUSG00000091014	3.7	1.55	2.08	2.35	4.83	6.04	4.66	0.81	1.78
ENSMUSG00000006179	30.53	11.66	20.75	142.73	141.93	250.74	15.84	20.34	10.69
ENSMUSG00000005373	16.65	25.65	19.37	14.9	0	34.74	0	16.27	0
ENSMUSG00000049130	24.98	21.77	4.15	123.91	121.66	114.79	22.36	23.59	0.89
ENSMUSG00000005370	1106.32	1026.08	1095.15	879.12	814.9	643.46	312.16	829.79	1251.45
ENSMUSG00000086688	64.75	58.3	50.5	43.13	41.52	40.78	52.18	33.35	43.64
ENSMUSG00000005374	468.98	376.23	426.85	599.15	360.14	529.42	363.41	274.97	179.92
ENSMUSG00000086686	0.93	0	0.69	3.14	3.86	4.53	0	0	0.89
ENSMUSG00000005378	1473.55	1668.93	1310.31	1321.42	1456.97	1945.47	1288.72	896.5	941.48
ENSMUSG00000086682	19.43	24.87	15.22	20.39	9.66	18.88	34.48	21.97	19.6
ENSMUSG00000086683	1.85	4.66	5.53	4.71	3.86	0	0	0	0
ENSMUSG00000086680	0	1.55	0	2.35	9.66	0	0	0	0.89
ENSMUSG00000086681	0	0	0	0	0	0	5.59	4.07	8.02
ENSMUSG00000086350	3.7	8.55	12.45	14.12	12.55	4.53	5.59	13.02	2.67
ENSMUSG00000086358	0	7.77	0.69	3.14	18.34	13.59	0	1.63	0
ENSMUSG00000026594	467.13	343.58	375.66	1642.17	733.79	1583.72	428.64	775.29	578.96
ENSMUSG00000026596	327.45	292.28	278.8	280.75	142.9	213.73	111.82	157.82	163.89
ENSMUSG00000007207	5.55	14.77	1.38	33.72	79.17	79.3	148.16	43.12	6.23
ENSMUSG00000059363	279.35	300.05	338.3	397.6	394.9	672.91	317.75	267.65	190.61
ENSMUSG00000033047	3576.1	3681.43	3037.78	3395.7	3331.04	3633.41	3125.36	2659.4	2399.57
ENSMUSG00000025875	85.1	150.8	98.93	249.38	452.83	264.33	535.8	319.71	264.54
ENSMUSG00000066489	0	0	2.08	0.78	1.93	4.53	0.93	1.63	0.89
ENSMUSG00000022157	0	0	0	0	0.97	0.76	0	0	10.69
ENSMUSG00000109383	0	1.55	1.38	0.78	1.93	0	7.45	4.07	6.23
ENSMUSG00000030530	3916.51	3157.51	3773.18	1889.98	2205.24	911.56	1359.54	2318.54	2770.1
ENSMUSG00000030533	3520.6	2551.2	2989.35	2393.46	2268	1175.89	1996.91	1628.67	1874.05
ENSMUSG00000030532	17.58	10.88	8.99	16.47	23.17	6.8	10.25	3.25	8.91
ENSMUSG00000030534	851.94	652.96	657.92	452.5	396.83	295.29	215.25	463.71	694.75
ENSMUSG00000030536	21266.06	17091.93	20453.63	13519.26	10325.24	8643.6	8490.84	18707.73	16798.77
ENSMUSG00000030539	77.7	47.42	44.28	219.58	167.03	385.92	36.34	118.77	149.64
ENSMUSG00000030538	998.09	1226.63	1068.17	1280.64	1581.52	2393.32	1759.3	1141.37	1031.44
ENSMUSG00000019461	727.99	867.5	777.6	374.86	511.72	428.21	281.41	239.99	188.83
ENSMUSG00000070713	9.25	10.88	5.53	19.61	23.17	29.45	15.84	5.69	9.8
ENSMUSG00000070717	27.75	14.77	28.36	10.98	18.34	35.5	34.48	8.95	11.58
ENSMUSG00000070719	0.93	0.78	0	2.35	0	6.8	0	20.34	0
ENSMUSG00000066487	6.48	11.66	3.46	3.92	9.66	25.68	14.91	4.88	2.67
ENSMUSG00000021139	1.85	3.11	1.38	2.35	1.93	3.78	6.52	2.44	3.56
ENSMUSG00000072623	19.43	7.77	56.73	98.03	37.66	21.9	2.8	3.25	8.91
ENSMUSG00000072621	14.8	15.55	15.22	85.48	83.03	75.52	241.34	148.87	223.57
ENSMUSG00000072620	2152.51	2413.61	2330.05	4303.04	6116.55	4662.78	5148.37	3804.02	3683.08
ENSMUSG00000021675	37.93	62.19	35.97	32.94	26.07	43.05	34.48	33.35	32.96
ENSMUSG00000104272	4.63	3.11	6.92	0.78	0	5.29	19.57	8.95	2.67
ENSMUSG00000104277	0	0.78	0	2.35	1.93	2.27	2.8	1.63	2.67
ENSMUSG00000104274	0.93	1.55	0	0.78	0.97	3.02	1.86	0.81	0
ENSMUSG00000104279	0	0	0	0	0	17.37	0.93	0.81	0
ENSMUSG00000058975	0	0.78	0	24.31	46.34	0.76	0	44.74	9.8
ENSMUSG00000058979	331.15	340.47	398.49	618.75	414.21	376.86	537.67	565.4	352.72
ENSMUSG00000095616	0	4.66	4.15	1.57	1.93	6.8	2.8	4.07	1.78
ENSMUSG00000034117	0	0	10.38	0	0	1.51	0	0	0
ENSMUSG00000095612	1130.37	3487.1	1411.31	563.07	204.69	345.14	3.73	10.58	20.49
ENSMUSG00000052395	312.65	321.81	266.35	290.16	222.07	274.9	143.5	220.46	372.32
ENSMUSG00000098397	4.63	1.55	13.84	10.19	8.69	0.76	0	6.51	6.23
ENSMUSG00000021678	21.28	9.33	29.06	27.45	28	61.93	2.8	39.05	127.37
ENSMUSG00000063698	18.5	56.75	22.83	54.11	86.9	83.08	72.68	50.44	24.94
ENSMUSG00000022351	5097.75	3232.14	2922.94	2191.13	1738.9	1024.85	3408.64	3586	3933.37
ENSMUSG00000084446	0	0	0	1.57	9.66	0	0	0	0
ENSMUSG00000019853	2.78	0.78	4.15	6.27	20.28	3.78	32.61	4.07	3.56
ENSMUSG00000084440	1.85	0.78	0.69	0.78	0	0	0	0.81	1.78
ENSMUSG00000047986	12.03	13.99	11.76	38.43	14.48	22.66	3.73	26.03	22.27
ENSMUSG00000034320	768.69	604.76	871	1424.94	1717.66	1264.25	3164.5	2676.48	2720.23
