ATF4	DDIT3	Unknown
ATF4	DDIT4	Activation
ATF4	DDR2	Activation
ATF4	DISC1	Unknown
ATF4	F7	Unknown
ATF4	FGF19	Activation
ATF4	FGF21	Activation
ATF4	HRK	Activation
ATF4	HSPA5	Repression
ATF4	IGFBP1	Activation
ATF4	IL6	Unknown
ATF4	IRF7	Repression
ATF4	MAP1LC3B	Activation
ATF4	MCL1	Unknown
ATF4	NDC80	Activation
ATF4	NUPR1	Activation
ATF4	PLAU	Activation
ATF4	PTGS2	Unknown
ATF4	S100P	Unknown
ATF4	SIGMAR1	Activation
ATF4	SIRT1	Activation
ATF4	SIRT1	Repression
ATF4	SIRT2	Repression
ATF4	TNFRSF10B	Unknown
ATF4	TRIB3	Activation
ATF4	TRIB3	Unknown
ATF4	VEGFA	Activation
ATF4	VEGFA	Unknown
ATF5	BCL2	Activation
ATF5	CCND3	Activation
ATF5	CREB1	Activation
ATF5	CYP2B6	Activation
ATF5	DISC1	Unknown
ATF5	EGR1	Unknown
ATF5	ID1	Repression
ATF5	SH2D1A	Unknown
ATF6	ATP2A2	Unknown
ATF6	BGLAP	Unknown
ATF6	DDIT3	Unknown
ATF6	DNAJC3	Activation
ATF6	HSPA5	Unknown
ATF6	MAFA	Repression
ATF6	NR0B2	Activation
ATF6	NUCB1	Activation
ATF6	PDX1	Repression
ATF6	RTN3	Activation
ATF6	SRF	Unknown
ATF6	STARD4	Activation
ATF6	WBP1	Activation
ATF6	XBP1	Unknown
ATF7	ERBB2	Unknown
ATF7	TAF12	Activation
ATM	APLF	Unknown
ATM	BAX	Activation
ATM	BCL2	Repression
ATM	CDKN1A	Unknown
ATM	CFLAR	Activation
ATM	CFLAR	Repression
ATM	DUSP1	Activation
ATM	FAS	Activation
ATM	FOXM1	Activation
ATM	GADD45A	Activation
ATM	IGF1R	Unknown
ATM	KLRK1	Activation
ATM	MCL1	Activation
ATM	MTF1	Unknown
ATM	PBK	Unknown
ATM	PCNA	Unknown
ATM	PMAIP1	Repression
ATM	PVR	Activation
ATM	PVR	Repression
ATM	SLC2A1	Repression
ATM	SP1	Repression
ATM	SP1	Unknown
ATM	TERF1	Repression
ATM	TNFRSF10B	Repression
ATM	VEGFA	Repression
ATOH1	HES6	Activation
ATOH1	MUC2	Activation
ATRX	HBA1	Repression
ATRX	HBA2	Repression
BACH1	HMOX1	Activation
BACH1	HMOX1	Repression
BACH1	MMP1	Activation
BACH2	BCL2	Unknown
BACH2	IL2	Unknown
BACH2	XBP1	Repression
BARD1	ESR1	Activation
BARX2	ESR1	Unknown
BATF	CD2	Unknown
BCL11A	GATA1	Activation
BCL11A	GATA1	Unknown
BCL3	CTCF	Repression
BCL3	EGFR	Activation
BCL3	MYB	Unknown
BCL3	NFKB1	Repression
BCL3	NFKB1	Unknown
BCL3	RELA	Unknown
BCL6	BCL2L1	Repression
BCL6	BCL6	Repression
BCL6	CCND2	Repression
BCL6	CD80	Repression
BCL6	CDKN1A	Repression
BCL6	CDKN2B	Repression
BCL6	CHEK1	Repression
BCL6	FCER2	Repression
BCL6	HDAC7	Repression
BCL6	IRF4	Repression
BCL6	LITAF	Repression
BCL6	MYC	Activation
BCL6	NFKB1	Repression
BCL6	PDCD2	Repression
BCL6	PDCD2	Unknown
BCL6	STAT3	Unknown
BCL6	SUMO1	Repression
BCL6	XBP1	Repression
BDP1	MYC	Unknown
BDP1	RB1	Unknown
BDP1	TP53	Unknown
BHLHE41	CCND1	Repression
BHLHE41	MLH1	Repression
BIN1	MYC	Unknown
BMI1	TERT	Repression
BPTF	HOXC8	Unknown
BRCA1	AREG	Repression
BRCA1	ASPM	Activation
BRCA1	ATM	Activation
BRCA1	BACH1	Unknown
BRCA1	BRCA2	Unknown
BRCA1	CASR	Unknown
BRCA1	CCNB1	Unknown
BRCA1	CCND1	Unknown
BRCA1	CDH3	Repression
BRCA1	CDH3	Unknown
BRCA1	CDKN1A	Activation
BRCA1	CDKN1A	Unknown
BRCA1	CDKN1B	Activation
BRCA1	CDKN1B	Unknown
BRCA1	CTSD	Repression
BRCA1	CXCL1	Repression
BRCA1	CYP19A1	Activation
BRCA1	CYP19A1	Unknown
BRCA1	CYP1A1	Unknown
BRCA1	CYP1B1	Unknown
BRCA1	DDB2	Activation
BRCA1	DDIT3	Activation
BRCA1	E2F6	Repression
BRCA1	EGFR	Repression
BRCA1	EGR1	Unknown
BRCA1	EP300	Activation
BRCA1	EP300	Unknown
BRCA1	ESR1	Activation
BRCA1	FOS	Unknown
BRCA1	FOXC1	Repression
BRCA1	FOXC2	Repression
BRCA1	FST	Activation
BRCA1	GADD45A	Activation
BRCA1	GADD45A	Repression
BRCA1	GADD45A	Unknown
BRCA1	HIF1A	Unknown
BRCA1	HMGA2	Repression
BRCA1	HNRNPA2B1	Repression
BRCA1	HSPA5	Repression
BRCA1	IFNA1	Activation
BRCA1	IGF1	Repression
BRCA1	IGF1R	Unknown
BRCA1	IRF7	Activation
BRCA1	IRF9	Activation
BRCA1	JAK1	Unknown
